id,latitude,longitude,heading,speed_over_ground,last_ais_updated_at,created_at,updated_at,nav_status_code,vessel_id,course,collection_type,source,need_to_scan,velocity
3930670577,"39,10739333","119,182605",511,"0,3",2021-03-23 0:01:48,2021-03-23 0:04:14,2021-03-23 0:04:14,15,15502,"65,7",0,spire,,
3930696351,"39,10739333","119,182615",511,"0,2",2021-03-23 0:06:48,2021-03-23 0:09:12,2021-03-23 0:09:12,15,15502,0,0,spire,,
3930696437,"39,10666667","119,1816667",511,0,2021-03-22 16:40:55,2021-03-23 0:09:12,2021-03-23 0:09:12,15,15502,0,1,spire,,
3930705468,"39,10739","119,1826283",511,"0,2",2021-03-23 0:10:08,2021-03-23 0:11:29,2021-03-23 0:11:29,15,15502,0,0,spire,,
3930718476,"39,10739","119,18263",511,"0,6",2021-03-23 0:15:48,2021-03-23 0:17:37,2021-03-23 0:17:37,15,15502,"184,4",0,spire,,
3930740835,"39,107405","119,182655",511,"0,2",2021-03-23 0:20:07,2021-03-23 0:20:53,2021-03-23 0:20:53,15,15502,0,0,spire,,
3930777409,"39,10737833","119,18257",511,"0,2",2021-03-23 0:31:08,2021-03-23 0:32:06,2021-03-23 0:32:06,15,15502,"68,1",0,spire,,
3930787352,"39,10737833","119,182585",511,"0,4",2021-03-23 0:35:28,2021-03-23 0:36:03,2021-03-23 0:36:03,15,15502,"50,1",0,spire,,
3930829099,"39,10737167","119,1826067",511,"0,3",2021-03-23 0:44:08,2021-03-23 0:45:27,2021-03-23 0:45:27,15,15502,94,0,spire,,
3930831868,"39,10736833","119,1826133",511,"0,3",2021-03-23 0:45:28,2021-03-23 0:47:36,2021-03-23 0:47:36,15,15502,"161,3",0,spire,,
3930885762,"39,10739","119,182645",511,"0,2",2021-03-23 1:09:47,2021-03-23 1:12:15,2021-03-23 1:12:15,15,15502,"199,3",0,spire,,
3930901258,"39,107385","119,1826317",511,"0,3",2021-03-23 1:12:47,2021-03-23 1:14:38,2021-03-23 1:14:38,15,15502,"12,1",0,spire,,
3930915208,"39,107405","119,1826033",511,"0,2",2021-03-23 1:15:07,2021-03-23 1:16:37,2021-03-23 1:16:37,15,15502,0,0,spire,,
3930964519,"39,107375","119,1826183",511,"0,1",2021-03-23 1:20:27,2021-03-23 1:22:30,2021-03-23 1:22:30,15,15502,0,0,spire,,
3931002568,"39,10737833","119,18263",511,"0,1",2021-03-23 1:25:07,2021-03-23 1:27:33,2021-03-23 1:27:33,15,15502,0,0,spire,,
3931009976,"39,10738833","119,182655",511,"0,3",2021-03-23 1:31:08,2021-03-23 1:32:22,2021-03-23 1:32:22,15,15502,"0,8",0,spire,,
3931021475,"39,107385","119,1826533",511,"0,1",2021-03-23 1:38:47,2021-03-23 1:39:58,2021-03-23 1:39:58,15,15502,0,0,spire,,
3931065096,"39,10738167","119,1826517",511,"0,1",2021-03-23 1:46:08,2021-03-23 1:48:34,2021-03-23 1:48:34,15,15502,0,0,spire,,
3931120486,"39,10740667","119,1826467",511,"0,4",2021-03-23 2:06:07,2021-03-23 2:07:34,2021-03-23 2:07:34,15,15502,"248,6",0,spire,,
3931145426,"39,10739833","119,1826533",511,"0,5",2021-03-23 2:10:07,2021-03-23 2:12:09,2021-03-23 2:12:09,15,15502,"339,1",0,spire,,
3931161311,"39,10739333","119,1826517",511,"0,1",2021-03-23 2:15:27,2021-03-23 2:17:31,2021-03-23 2:17:31,15,15502,0,0,spire,,
3931220307,"39,10733333","119,1826833",511,"0,1",2021-03-23 2:29:07,2021-03-23 2:29:49,2021-03-23 2:29:49,15,15502,0,0,spire,,
3931228231,"39,10744167","119,1825983",511,"0,2",2021-03-23 2:31:47,2021-03-23 2:33:09,2021-03-23 2:33:09,15,15502,232,0,spire,,
3931271914,"39,10740667","119,1826467",511,"0,1",2021-03-23 2:39:07,2021-03-23 2:40:07,2021-03-23 2:40:07,15,15502,0,0,spire,,
3931309209,"39,10741833","119,1826533",511,0,2021-03-23 2:40:48,2021-03-23 2:43:48,2021-03-23 2:43:48,15,15502,0,0,spire,,
3931329781,"39,10740667","119,1826483",511,"0,3",2021-03-23 2:46:08,2021-03-23 2:48:36,2021-03-23 2:48:36,15,15502,"193,9",0,spire,,
3931338097,"39,10739667","119,1826367",511,"0,3",2021-03-23 2:50:08,2021-03-23 2:51:44,2021-03-23 2:51:44,15,15502,"120,6",0,spire,,
3931343429,"39,10736833","119,1826833",511,"0,4",2021-03-23 2:55:27,2021-03-23 2:56:26,2021-03-23 2:56:26,15,15502,50,0,spire,,
3931358661,"39,10742333","119,1826233",511,"0,5",2021-03-23 3:01:47,2021-03-23 3:03:25,2021-03-23 3:03:25,15,15502,"187,1",0,spire,,
3931366805,"39,10739333","119,1826633",511,"0,3",2021-03-23 3:09:28,2021-03-23 3:10:52,2021-03-23 3:10:52,15,15502,"254,2",0,spire,,
3931366842,"39,10739333","119,1826617",511,"0,2",2021-03-23 3:10:28,2021-03-23 3:10:52,2021-03-23 3:10:52,15,15502,"184,7",0,spire,,
3931438597,"39,10738167","119,182615",511,"0,2",2021-03-23 3:18:47,2021-03-23 3:21:45,2021-03-23 3:21:45,15,15502,0,0,spire,,
3931438789,"39,10737167","119,18263",511,"0,2",2021-03-23 3:21:07,2021-03-23 3:21:45,2021-03-23 3:21:45,15,15502,"101,7",0,spire,,
3931459080,"39,10736167","119,1826217",511,"0,2",2021-03-23 3:25:27,2021-03-23 3:25:54,2021-03-23 3:25:54,15,15502,0,0,spire,,
3931503595,"39,10736333","119,1826333",511,"0,1",2021-03-23 3:31:28,2021-03-23 3:33:43,2021-03-23 3:33:43,15,15502,0,0,spire,,
3931511672,"39,10737167","119,182635",511,"0,2",2021-03-23 3:35:48,2021-03-23 3:37:03,2021-03-23 3:37:03,15,15502,0,0,spire,,
3931518068,"39,10738667","119,1826467",511,"0,1",2021-03-23 3:40:08,2021-03-23 3:41:28,2021-03-23 3:41:28,15,15502,0,0,spire,,
3931543449,"39,107385","119,1826433",511,0,2021-03-23 3:46:07,2021-03-23 3:47:36,2021-03-23 3:47:36,15,15502,0,0,spire,,
3931659325,"39,10738333","119,1826467",511,"0,2",2021-03-23 4:25:46,2021-03-23 4:28:12,2021-03-23 4:28:12,15,15502,0,0,spire,,
3931664058,"39,10742","119,1825917",511,"0,1",2021-03-23 4:30:07,2021-03-23 4:33:36,2021-03-23 4:33:36,15,15502,0,0,spire,,
3931674022,"39,10744333","119,182605",511,"0,3",2021-03-23 4:35:28,2021-03-23 4:36:44,2021-03-23 4:36:44,15,15502,"71,8",0,spire,,
3931690430,"39,10742333","119,1826183",511,"0,3",2021-03-23 4:41:48,2021-03-23 4:43:10,2021-03-23 4:43:10,15,15502,297,0,spire,,
3931695997,"39,10741667","119,1826267",511,"0,2",2021-03-23 4:45:38,2021-03-23 4:47:02,2021-03-23 4:47:02,15,15502,0,0,spire,,
3931709138,"39,10740333","119,1826267",511,"0,2",2021-03-23 4:50:07,2021-03-23 4:53:05,2021-03-23 4:53:05,15,15502,0,0,spire,,
3931730773,"39,10739833","119,1826367",511,"0,2",2021-03-23 4:57:48,2021-03-23 4:59:34,2021-03-23 4:59:34,15,15502,0,0,spire,,
3931754485,"39,10739333","119,18264",511,"0,2",2021-03-23 5:00:07,2021-03-23 5:02:58,2021-03-23 5:02:58,15,15502,"264,4",0,spire,,
3931762723,"39,10739","119,18264",511,"0,1",2021-03-23 5:05:27,2021-03-23 5:07:15,2021-03-23 5:07:15,15,15502,0,0,spire,,
3931762741,"11,655195","111,1819533",193,"14,9",2021-03-23 4:32:26,2021-03-23 5:07:15,2021-03-23 5:07:15,0,15502,"197,4",1,spire,,
3931778464,"39,10738667","119,1826433",511,"0,1",2021-03-23 5:10:07,2021-03-23 5:11:32,2021-03-23 5:11:32,15,15502,0,0,spire,,
3931908666,"39,10742","119,182605",511,"0,1",2021-03-23 5:40:46,2021-03-23 5:42:06,2021-03-23 5:42:06,15,15502,0,0,spire,,
3931922614,"39,10739833","119,1826183",511,"0,2",2021-03-23 5:45:28,2021-03-23 5:46:13,2021-03-23 5:46:13,15,15502,0,0,spire,,
3931939003,"39,10739833","119,1826217",511,"0,2",2021-03-23 5:50:07,2021-03-23 5:50:37,2021-03-23 5:50:37,15,15502,0,0,spire,,
3931955358,"39,10739333","119,1826267",511,"0,1",2021-03-23 5:56:28,2021-03-23 5:58:13,2021-03-23 5:58:13,15,15502,0,0,spire,,
3931960374,"39,10739333","119,1826133",511,"0,1",2021-03-23 6:02:28,2021-03-23 6:03:26,2021-03-23 6:03:26,15,15502,0,0,spire,,
3932063941,"39,10739","119,1826367",511,"0,1",2021-03-23 6:41:38,2021-03-23 6:43:46,2021-03-23 6:43:46,15,15502,0,0,spire,,
3932101714,"39,10738833","119,182645",511,"0,1",2021-03-23 6:59:28,2021-03-23 7:02:28,2021-03-23 7:02:28,15,15502,0,0,spire,,
3932231007,"39,10739","119,1826183",511,"0,2",2021-03-23 7:38:27,2021-03-23 7:39:45,2021-03-23 7:39:45,15,15502,0,0,spire,,
3932236782,"39,10739","119,18262",511,"0,2",2021-03-23 7:41:27,2021-03-23 7:43:52,2021-03-23 7:43:52,15,15502,0,0,spire,,
